sqrts=200.0,mu=2.0
1.1667605,5.248875447661367
1.5559005,4.769555087863456
2.0748265,4.394286192095435
2.7668255,4.107423620034474
3.6896215,3.8756105540318675
4.920189,3.682217024352942
6.56118,3.5145511892278756
8.74947,3.3695044699281804
11.667605,3.2407534652151737
15.559005,3.1300258107851633
20.748265,3.0395015014085045
27.668255,2.9729310704498353
36.896215,2.9313807927247617
49.20189,2.92614064088535
65.6118,2.9828163176092164
87.4947,3.197756297290609
sqrts=200.0,mu=1.0
1.1667605,8.03489413484554
1.5559005,6.342833951762524
2.0748265,5.3197750851304
2.7668255,4.659645712583092
3.6896215,4.171606775386967
4.920189,3.8073768803506094
6.56118,3.5334157413754945
8.74947,3.310712518093946
11.667605,3.1220323512362285
15.559005,2.96373710992387
20.748265,2.83416996377214
27.668255,2.734784948259417
36.896215,2.6642735824282124
49.20189,2.6327757530269578
65.6118,2.6599105291376697
87.4947,2.822955477968794
sqrts=200.0,mu=0.5
1.1667605,13.691516865466204
1.5559005,10.766023074843574
2.0748265,8.344773788929658
2.7668255,6.390300233911272
3.6896215,5.052182956272035
4.920189,4.248260181576183
6.56118,3.697506288336647
8.74947,3.294850191304683
11.667605,2.99234443616883
15.559005,2.7590998581880126
20.748265,2.571817430457828
27.668255,2.426558329913898
36.896215,2.317743547642564
49.20189,2.2548742487608915
65.6118,2.2513318072924373
87.4947,2.359739594243239
sqrts=5020.0,mu=0.5
1.138572,23.89535529188013
1.45412,20.44439451252997
1.8571205,17.3119901921219
2.37181,14.08613361904788
3.0291425,10.103265884398237
3.8686505,7.72861134655749
4.940823,6.382516462162242
6.31014,5.482831582613166
8.05896,4.820394295658375
10.29245,4.331993079187234
13.144935,3.954131224822824
16.787975,3.6447858445471386
21.44066,3.383951851864281
27.382805,3.168304582734254
34.97178,2.978869229051737
44.66399,2.812875390000623
57.04235,2.669668406726249
72.85125,2.5413252505583315
93.04155,2.426818950540948
118.82745,2.3244975333881124
151.75975,2.232141057545636
193.819,2.1484617667053523
247.53475,2.071628899569013
316.13745,2.002068839863218
403.753,1.9389558372503195
515.6505,1.8833591625948056
658.56,1.8361554394459705
841.076,1.8001133470344468
1074.175,1.777497204875787
1371.8755,1.7736922642456412
1752.0825,1.8009632043674055
2237.6615,1.9083054651948987
sqrts=5020.0,mu=2.0
1.138572,5.633954801211248
1.45412,5.123323281038907
1.8571205,4.68723125555429
2.37181,4.3943602309737
3.0291425,4.152321398189357
3.8686505,3.926659935776086
4.940823,3.751277042760072
6.31014,3.5931727328591787
8.05896,3.446123890521314
10.29245,3.324203165178683
13.144935,3.210101141827796
16.787975,3.106719373415177
21.44066,3.0128014924151745
27.382805,2.9313918895390647
34.97178,2.853773028595952
44.66399,2.7814272196185392
57.04235,2.7168563062635
72.85125,2.655676113097662
93.04155,2.5987933057240924
118.82745,2.546004740970452
151.75975,2.4967063839123367
193.819,2.450602219028426
247.53475,2.407148881944713
316.13745,2.367446191340819
403.753,2.331882403000649
515.6505,2.30242992452525
658.56,2.280991038052597
841.076,2.271070029848117
1074.175,2.276779105082583
1371.8755,2.307113676949045
1752.0825,2.383220377779105
2237.6615,2.5789291578370808
sqrts=5020.0,mu=1.0
1.138572,11.94212225343536
1.45412,9.285897558758885
1.8571205,7.320111622664775
2.37181,6.228729945946102
3.0291425,5.490673838485299
3.8686505,4.911095304081577
4.940823,4.4885002005129735
6.31014,4.163789733090917
8.05896,3.886072819724618
10.29245,3.660719519602071
13.144935,3.461406170338182
16.787975,3.28835613004904
21.44066,3.135632503181526
27.382805,3.005432370208574
34.97178,2.885907136630047
44.66399,2.7775470322914577
57.04235,2.682055644204919
72.85125,2.593890963222273
93.04155,2.513413486966802
118.82745,2.4399879455734386
151.75975,2.3724546804580933
193.819,2.310195296498635
247.53475,2.252158631842132
316.13745,2.199230941246245
403.753,2.151284462362048
515.6505,2.1099288646283525
658.56,2.076627530193999
841.076,2.054478078748006
1074.175,2.0467118500888164
1371.8755,2.0604988469570245
1752.0825,2.1129875945058125
2237.6615,2.2666226803447733
